asn=0    	id=-1  	Main	copying configuration file E:\TSCH-2022\matlab-simulation\simple-Exmp\config.json to output directory E:\TSCH-2022\results\2022-04-28_12-42-09\config.json[MAIN]
asn=0    	id=-1  	Main	initializing 200 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	initializing leaf-and-forwarder scheduler [SCHEDULER_NEW]
asn=0    	id=-1  	Main	creating 1 "root" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	creating 3 "2nd-depth" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=5[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=6[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=7[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=8[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=9[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=10[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=11[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=12[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=13[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=14[SIMULATOR]
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=1 warmup=0 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=1 warmup=0 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=4 for=1 period=1 warmup=0 [PACKET_SOURCE]
asn=0    	id=-1  	Main	warning: ignoring connection to node 5: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection from node 5: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 6: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection from node 6: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 7: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection from node 7: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 8: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection from node 8: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 9: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 6: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 10: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 8: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 11: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 8: no such node[SIMULATOR]
