asn=0    	id=-1  	Main	copying configuration file E:\TSCH-2022\matlab-simulation\simple-Exmp\config.json to output directory E:\TSCH-2022\results\2022-04-28_12-48-58\config.json[MAIN]
asn=0    	id=-1  	Main	initializing 100 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	initializing leaf-and-forwarder scheduler [SCHEDULER_NEW]
asn=0    	id=-1  	Main	creating 1 "root" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	creating 3 "2nd-depth" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=5[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=6[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=7[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=8[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=9[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=10[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=11[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=12[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=13[SIMULATOR]
asn=0    	id=-1  	Main	warning: position specified for unknown node ID=14[SIMULATOR]
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=0.1 warmup=0 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=0.1 warmup=0 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=4 for=1 period=0.1 warmup=0 [PACKET_SOURCE]
asn=0    	id=-1  	Main	warning: ignoring connection to node 5: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection from node 5: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 6: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection from node 6: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 7: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection from node 7: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 8: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection from node 8: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 9: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 6: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 10: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 8: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 11: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 8: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 12: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 9: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 13: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 10: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 14: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: ignoring connection to node 10: no such node[SIMULATOR]
asn=0    	id=-1  	Main	warning: no connections defined for node type "root"[SIMULATOR]
asn=0    	id=-1  	Main	warning: no connections defined for node type "2nd-depth"[SIMULATOR]
asn=0    	id=-1  	Main	simulation created[SIMULATOR]
asn=0    	id=-1  	Main	starting simulation main loop...[SIMULATOR]
asn=0    	id=1   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=1   	Node	Slotframe number 1 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=1   	TSCH	about to add cells at channel offset=2 called by node 1 [SCHEDULER NEW]
asn=0    	id=1   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=1   	Node	Add cell in timeslot: 2 channel offset: 1 in slotframe: 1
asn=0    	id=1   	Node	Add cell in timeslot: 3 channel offset: 2 in slotframe: 1
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=1   	TSCH	Node has joined TSCH as coordinator [NODE]
asn=0    	id=1   	Node	Start method called from Manual Routing for 1
asn=0    	id=1   	Node	Route File Read successfully [ROUTING MANUAL]
asn=0    	id=1   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=0    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
