asn=0    	id=7   	TSCH	about to add cells at channel offset=8 called by node 7 [SCHEDULER NEW]
asn=0    	id=7   	Node	Add cell in timeslot: 1 channel offset: 4 in slotframe: 1
asn=0    	id=7   	Node	Add cell in timeslot: 2 channel offset: 4 in slotframe: 1
asn=0    	id=7   	Node	Add cell in timeslot: 5 channel offset: 5 in slotframe: 1
asn=0    	id=7   	Node	Add cell in timeslot: 6 channel offset: 5 in slotframe: 1
asn=0    	id=7   	Node	Add cell in timeslot: 7 channel offset: 5 in slotframe: 1
asn=0    	id=7   	Node	Add cell in timeslot: 10 channel offset: 5 in slotframe: 1
asn=0    	id=7   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=7   	Node	update time source called [NODE]
asn=0    	id=7   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=7   	Node	scanning on channel=19...[NODE]
asn=0    	id=8   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=8   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=8   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=8   	Node	Slotframe number 1 added from node: 8 [NODE]
asn=0    	id=8   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=8   	TSCH	about to add cells at channel offset=9 called by node 8 [SCHEDULER NEW]
asn=0    	id=8   	Node	Add cell in timeslot: 8 channel offset: 1 in slotframe: 1
asn=0    	id=8   	Node	Add cell in timeslot: 4 channel offset: 3 in slotframe: 1
asn=0    	id=8   	Node	Add cell in timeslot: 1 channel offset: 5 in slotframe: 1
asn=0    	id=8   	Node	Add cell in timeslot: 3 channel offset: 5 in slotframe: 1
asn=0    	id=8   	Node	Add cell in timeslot: 5 channel offset: 5 in slotframe: 1
asn=0    	id=8   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=8   	Node	update time source called [NODE]
asn=0    	id=8   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=8   	Node	scanning on channel=17...[NODE]
asn=0    	id=9   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=9   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=9   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=9   	Node	Slotframe number 1 added from node: 9 [NODE]
asn=0    	id=9   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=9   	TSCH	about to add cells at channel offset=10 called by node 9 [SCHEDULER NEW]
asn=0    	id=9   	Node	Add cell in timeslot: 5 channel offset: 1 in slotframe: 1
asn=0    	id=9   	Node	Add cell in timeslot: 4 channel offset: 4 in slotframe: 1
asn=0    	id=9   	Node	Add cell in timeslot: 5 channel offset: 4 in slotframe: 1
asn=0    	id=9   	Node	Add cell in timeslot: 7 channel offset: 5 in slotframe: 1
asn=0    	id=9   	Node	Add cell in timeslot: 8 channel offset: 2 in slotframe: 1
asn=0    	id=9   	Node	Add cell in timeslot: 1 channel offset: 4 in slotframe: 1
asn=0    	id=9   	Node	Add cell in timeslot: 2 channel offset: 4 in slotframe: 1
asn=0    	id=9   	Node	Add cell in timeslot: 3 channel offset: 4 in slotframe: 1
asn=0    	id=9   	Node	Add cell in timeslot: 8 channel offset: 4 in slotframe: 1
asn=0    	id=9   	Node	Add cell in timeslot: 10 channel offset: 5 in slotframe: 1
asn=0    	id=9   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=9   	Node	update time source called [NODE]
asn=0    	id=9   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=9   	Node	scanning on channel=16...[NODE]
asn=0    	id=10  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=10  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=10  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=10  	Node	Slotframe number 1 added from node: 10 [NODE]
asn=0    	id=10  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=10  	TSCH	about to add cells at channel offset=11 called by node 10 [SCHEDULER NEW]
asn=0    	id=10  	Node	Add cell in timeslot: 6 channel offset: 1 in slotframe: 1
asn=0    	id=10  	Node	Add cell in timeslot: 6 channel offset: 3 in slotframe: 1
asn=0    	id=10  	Node	Add cell in timeslot: 8 channel offset: 3 in slotframe: 1
asn=0    	id=10  	Node	Add cell in timeslot: 2 channel offset: 4 in slotframe: 1
asn=0    	id=10  	Node	Add cell in timeslot: 10 channel offset: 5 in slotframe: 1
asn=0    	id=10  	Node	Add cell in timeslot: 8 channel offset: 2 in slotframe: 1
asn=0    	id=10  	Node	Add cell in timeslot: 5 channel offset: 3 in slotframe: 1
asn=0    	id=10  	Node	Add cell in timeslot: 6 channel offset: 3 in slotframe: 1
asn=0    	id=10  	Node	Add cell in timeslot: 8 channel offset: 3 in slotframe: 1
asn=0    	id=10  	Node	Add cell in timeslot: 4 channel offset: 5 in slotframe: 1
asn=0    	id=10  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=10  	Node	update time source called [NODE]
asn=0    	id=10  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=10  	Node	scanning on channel=20...[NODE]
asn=0    	id=11  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=11  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=11  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=11  	Node	Slotframe number 1 added from node: 11 [NODE]
asn=0    	id=11  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=11  	TSCH	about to add cells at channel offset=12 called by node 11 [SCHEDULER NEW]
asn=0    	id=11  	Node	Add cell in timeslot: 2 channel offset: 1 in slotframe: 1
asn=0    	id=11  	Node	Add cell in timeslot: 8 channel offset: 4 in slotframe: 1
asn=0    	id=11  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=11  	Node	update time source called [NODE]
asn=0    	id=11  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=11  	Node	scanning on channel=19...[NODE]
asn=0    	id=12  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=12  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=12  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=12  	Node	Slotframe number 1 added from node: 12 [NODE]
asn=0    	id=12  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=12  	TSCH	about to add cells at channel offset=13 called by node 12 [SCHEDULER NEW]
asn=0    	id=12  	Node	Add cell in timeslot: 8 channel offset: 2 in slotframe: 1
asn=0    	id=12  	Node	Add cell in timeslot: 1 channel offset: 4 in slotframe: 1
asn=0    	id=12  	Node	Add cell in timeslot: 2 channel offset: 4 in slotframe: 1
asn=0    	id=12  	Node	Add cell in timeslot: 3 channel offset: 4 in slotframe: 1
asn=0    	id=12  	Node	Add cell in timeslot: 8 channel offset: 4 in slotframe: 1
asn=0    	id=12  	Node	Add cell in timeslot: 10 channel offset: 5 in slotframe: 1
asn=0    	id=12  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=12  	Node	update time source called [NODE]
asn=0    	id=12  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=12  	Node	scanning on channel=24...[NODE]
asn=0    	id=13  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=13  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=13  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=13  	Node	Slotframe number 1 added from node: 13 [NODE]
asn=0    	id=13  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=13  	TSCH	about to add cells at channel offset=14 called by node 13 [SCHEDULER NEW]
asn=0    	id=13  	Node	Add cell in timeslot: 2 channel offset: 2 in slotframe: 1
asn=0    	id=13  	Node	Add cell in timeslot: 1 channel offset: 3 in slotframe: 1
asn=0    	id=13  	Node	Add cell in timeslot: 4 channel offset: 5 in slotframe: 1
asn=0    	id=13  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=13  	Node	update time source called [NODE]
asn=0    	id=13  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=13  	Node	scanning on channel=14...[NODE]
asn=0    	id=14  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=14  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=14  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=14  	Node	Slotframe number 1 added from node: 14 [NODE]
asn=0    	id=14  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=14  	TSCH	about to add cells at channel offset=1 called by node 14 [SCHEDULER NEW]
asn=0    	id=14  	Node	Add cell in timeslot: 8 channel offset: 2 in slotframe: 1
asn=0    	id=14  	Node	Add cell in timeslot: 5 channel offset: 3 in slotframe: 1
asn=0    	id=14  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=14  	Node	update time source called [NODE]
asn=0    	id=14  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=14  	Node	scanning on channel=15...[NODE]
asn=12   	id=12  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=13   	id=14  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=15   	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=15   	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15   	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=25   	id=7   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=30   	id=8   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=30   	id=11  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=32   	id=9   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=35   	id=5   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=38   	id=10  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=39   	id=6   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=44   	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=46   	id=4   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=49   	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=61   	id=6   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=68   	id=8   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=72   	id=9   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=73   	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=77   	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=79   	id=4   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=80   	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=81   	id=10  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
